package,link_text,url,link
a4,PDF,../vignettes/a4/inst/doc/a4vignette.pdf,https://bioconductor.org/packages/release/bioc/vignettes/a4/inst/doc/a4vignette.pdf
a4,PDF,../manuals/a4/man/a4.pdf,https://bioconductor.org/packages/release/bioc/manuals/a4/man/a4.pdf
a4,Text,../news/a4/NEWS,https://bioconductor.org/packages/release/bioc/news/a4/NEWS
a4Base,PDF,../manuals/a4Base/man/a4Base.pdf,https://bioconductor.org/packages/release/bioc/manuals/a4Base/man/a4Base.pdf
a4Base,Text,../news/a4Base/NEWS,https://bioconductor.org/packages/release/bioc/news/a4Base/NEWS
a4Classif,HTML,../vignettes/a4Classif/inst/doc/a4Classif-vignette.html,https://bioconductor.org/packages/release/bioc/vignettes/a4Classif/inst/doc/a4Classif-vignette.html
a4Classif,PDF,../manuals/a4Classif/man/a4Classif.pdf,https://bioconductor.org/packages/release/bioc/manuals/a4Classif/man/a4Classif.pdf
a4Classif,Text,../news/a4Classif/NEWS,https://bioconductor.org/packages/release/bioc/news/a4Classif/NEWS
a4Core,HTML,../vignettes/a4Core/inst/doc/a4Core-vignette.html,https://bioconductor.org/packages/release/bioc/vignettes/a4Core/inst/doc/a4Core-vignette.html
a4Core,PDF,../manuals/a4Core/man/a4Core.pdf,https://bioconductor.org/packages/release/bioc/manuals/a4Core/man/a4Core.pdf
a4Core,Text,../news/a4Core/NEWS,https://bioconductor.org/packages/release/bioc/news/a4Core/NEWS
a4Preproc,HTML,../vignettes/a4Preproc/inst/doc/a4Preproc-vignette.html,https://bioconductor.org/packages/release/bioc/vignettes/a4Preproc/inst/doc/a4Preproc-vignette.html
a4Preproc,PDF,../manuals/a4Preproc/man/a4Preproc.pdf,https://bioconductor.org/packages/release/bioc/manuals/a4Preproc/man/a4Preproc.pdf
a4Preproc,Text,../news/a4Preproc/NEWS,https://bioconductor.org/packages/release/bioc/news/a4Preproc/NEWS
a4Reporting,HTML,../vignettes/a4Reporting/inst/doc/a4reporting-vignette.html,https://bioconductor.org/packages/release/bioc/vignettes/a4Reporting/inst/doc/a4reporting-vignette.html
a4Reporting,PDF,../manuals/a4Reporting/man/a4Reporting.pdf,https://bioconductor.org/packages/release/bioc/manuals/a4Reporting/man/a4Reporting.pdf
